Date,Team,2021,Home,Away
2021-12-17,E Kentucky,34.9,32.5,36.8
2021-12-17,St. Thomas (MN),32.8,32.0,32.9
2021-12-17,VA Military,32.8,29.0,33.3
2021-12-17,Oral Roberts,32.4,35.3,30.6
2021-12-17,W Carolina,31.9,31.3,32.1
2021-12-17,Samford,30.9,36.0,28.8
2021-12-17,Villanova,30.0,28.3,30.7
2021-12-17,Citadel,29.5,29.0,29.6
2021-12-17,Bryant,29.4,27.0,30.0
2021-12-17,Lafayette,29.4,29.3,29.5
2021-12-17,Colgate,29.0,26.7,30.0
2021-12-17,Florida Intl,29.0,26.8,30.5
2021-12-17,W Illinois,28.9,27.7,29.6
2021-12-17,Princeton,28.8,27.6,29.8
2021-12-17,Coppin State,28.7,31.5,28.3
2021-12-17,Seattle,28.7,28.8,28.5
2021-12-17,Alabama,28.7,30.8,26.6
2021-12-17,Hofstra,28.7,27.3,29.3
2021-12-17,Furman,28.6,25.8,30.5
2021-12-17,Fla Gulf Cst,28.5,26.5,31.5
2021-12-17,Tennessee,28.5,28.8,28.0
2021-12-17,Cornell,28.4,32.0,26.2
2021-12-17,IL-Chicago,28.3,31.7,26.7
2021-12-17,Auburn,28.2,29.4,27.0
2021-12-17,Liberty,28.0,29.7,27.0
2021-12-17,San Fransco,28.0,29.6,21.5
2021-12-17,Sam Hous St,27.9,23.0,28.6
2021-12-17,U Mass,27.8,24.6,30.5
2021-12-17,Dartmouth,27.6,23.0,29.2
2021-12-17,Rice,27.5,26.8,28.0
2021-12-17,NC-Wilmgton,27.4,26.5,27.8
2021-12-17,St Josephs,27.4,25.7,31.3
2021-12-17,Harvard,27.1,31.0,24.3
2021-12-17,Charl South,27.1,30.5,26.0
2021-12-17,Geo Mason,27.1,26.4,27.8
2021-12-17,Evansville,27.1,23.8,29.0
2021-12-17,U Penn,27.1,28.5,26.8
2021-12-17,Quinnipiac,27.0,26.8,27.3
2021-12-17,Detroit,27.0,36.0,26.0
2021-12-17,Wofford,26.9,25.3,28.2
2021-12-17,E Tenn St,26.9,26.7,27.0
2021-12-17,Richmond,26.7,29.3,25.0
2021-12-17,Yale,26.7,26.2,27.0
2021-12-17,Ark Pine Bl,26.6,19.0,27.4
2021-12-17,S Utah,26.6,19.0,27.7
2021-12-17,Marquette,26.5,24.0,29.6
2021-12-17,Elon,26.3,28.0,25.5
2021-12-17,Belmont,26.3,29.0,25.0
2021-12-17,Maryland BC,26.3,25.7,26.6
2021-12-17,W Michigan,26.3,23.0,26.8
2021-12-17,Fordham,26.3,25.6,26.7
2021-12-17,Vanderbilt,26.2,25.7,28.0
2021-12-17,Canisius,26.2,27.8,25.2
2021-12-17,North Dakota,26.0,28.0,25.1
2021-12-17,SE Louisiana,26.0,--,26.0
2021-12-17,Louisville,25.9,25.8,26.0
2021-12-17,Ohio,25.9,24.6,27.5
2021-12-17,LIU,25.9,38.0,24.1
2021-12-17,N Iowa,25.9,21.8,31.3
2021-12-17,N Colorado,25.8,22.0,27.4
2021-12-17,Stony Brook,25.8,26.5,24.8
2021-12-17,Illinois,25.8,26.8,24.3
2021-12-17,Mercer,25.8,20.0,27.4
2021-12-17,E Washingtn,25.8,31.0,25.1
2021-12-17,Bowling Grn,25.8,28.7,24.0
2021-12-17,Miami (OH),25.7,26.0,25.5
2021-12-17,Austin Peay,25.7,--,25.7
2021-12-17,Col Charlestn,25.6,27.3,23.6
2021-12-17,Utah State,25.5,26.8,24.7
2021-12-17,Hartford,25.5,28.5,24.8
2021-12-17,Wash State,25.5,24.9,27.0
2021-12-17,Middle Tenn,25.4,24.0,26.2
2021-12-17,Buffalo,25.4,32.0,24.3
2021-12-17,Iowa,25.3,26.3,23.0
2021-12-17,Nebraska,25.3,24.6,27.0
2021-12-17,N Kentucky,25.1,21.8,29.7
2021-12-17,Loyola-Chi,25.1,25.4,24.8
2021-12-17,Sacred Hrt,24.9,19.0,26.4
2021-12-17,Florida,24.9,27.5,21.0
2021-12-17,La Salle,24.9,25.2,24.3
2021-12-17,Indiana St,24.9,28.0,24.5
2021-12-17,Notre Dame,24.9,26.7,23.5
2021-12-17,UNLV,24.8,26.0,22.8
2021-12-17,Arizona,24.8,24.8,24.8
2021-12-17,Ball State,24.8,26.0,24.3
2021-12-17,N Hampshire,24.7,26.0,24.2
2021-12-17,N Florida,24.7,29.0,24.2
2021-12-17,App State,24.7,27.0,23.5
2021-12-17,IPFW,24.7,23.3,25.8
2021-12-17,Winthrop,24.7,24.3,24.8
2021-12-17,Chicago St,24.6,21.2,27.5
2021-12-17,Bucknell,24.6,25.7,24.1
2021-12-17,Grd Canyon,24.6,24.2,25.3
2021-12-17,Fla Atlantic,24.6,24.6,24.5
2021-12-17,Wake Forest,24.5,25.6,21.3
2021-12-17,Gard-Webb,24.4,25.5,23.6
2021-12-17,Baylor,24.4,25.8,21.7
2021-12-17,North Texas,24.4,25.7,23.5
2021-12-17,Oakland,24.4,31.0,23.7
2021-12-17,NC-Asheville,24.3,22.3,25.3
2021-12-17,Loyola-MD,24.2,20.0,26.0
2021-12-17,Penn State,24.1,23.0,25.8
2021-12-17,Wichita St,24.1,23.0,25.8
2021-12-17,Duke,24.0,27.3,16.3
2021-12-17,Houston,23.9,25.0,22.0
2021-12-17,Portland,23.9,27.2,21.2
2021-12-17,Xavier,23.9,25.3,20.3
2021-12-17,Missouri St,23.9,24.2,23.7
2021-12-17,Purdue,23.8,24.2,23.3
2021-12-17,Vermont,23.8,22.0,24.3
2021-12-17,Valparaiso,23.8,20.7,25.3
2021-12-17,Illinois St,23.8,23.4,24.3
2021-12-17,Seton Hall,23.8,23.8,23.7
2021-12-17,LA Tech,23.8,24.8,22.8
2021-12-17,S Methodist,23.7,24.5,21.7
2021-12-17,San Jose St,23.7,25.0,22.0
2021-12-17,LA Lafayette,23.5,21.7,24.6
2021-12-17,Oklahoma,23.5,24.2,22.8
2021-12-17,Bradley,23.4,23.8,23.2
2021-12-17,N Alabama,23.4,23.5,23.4
2021-12-17,Longwood,23.4,22.6,24.7
2021-12-17,Cincinnati,23.4,22.4,25.0
2021-12-17,NC State,23.3,24.1,21.3
2021-12-17,Stetson,23.3,23.7,23.0
